year,prop1_black_cast,prop1_black_composers,prop1_black_creators,prop1_black_directors,prop1_black_executive_producers,prop1_black_presenters,prop1_black_producers,prop1_female_cast,prop1_female_composers,prop1_female_creators,prop1_female_directors,prop1_female_executive_producers,prop1_female_presenters,prop1_female_producers,prop_black_cast,prop_black_composers,prop_black_creators,prop_black_directors,prop_black_executive_producers,prop_black_presenters,prop_black_producers,prop_female_cast,prop_female_composers,prop_female_creators,prop_female_directors,prop_female_executive_producers,prop_female_presenters,prop_female_producers
1980-1981,0.0858895705521,0.0,0.0183486238532,0.0802919708029,0.0,0.0609756097561,0.0,0.467924528302,0.0825688073394,0.205020920502,0.219858156028,0.185654008439,0.358974358974,0.334841628959,0.0112781954887,0.0,0.00925925925926,0.00793650793651,0.0,0.0361445783133,0.0,0.443609022556,0.0483870967742,0.101851851852,0.047619047619,0.172619047619,0.301204819277,0.142857142857
1981-1982,0.0461538461538,0.0,0.0151515151515,0.0851063829787,0.0,0.0684931506849,0.0,0.474137931034,0.138461538462,0.184027777778,0.246666666667,0.17843866171,0.333333333333,0.342105263158,0.0101351351351,0.0,0.0077519379845,0.00704225352113,0.0,0.0357142857143,0.0,0.422297297297,0.0547945205479,0.116279069767,0.0492957746479,0.170984455959,0.333333333333,0.142857142857
1982-1983,0.0816326530612,0.0,0.0140845070423,0.114457831325,0.0,0.0490196078431,0.0,0.468656716418,0.0671641791045,0.243670886076,0.19018404908,0.219672131148,0.369863013699,0.36974789916,0.0107692307692,0.0,0.00709219858156,0.0129032258065,0.0,0.03,0.0,0.426153846154,0.0449438202247,0.148936170213,0.0451612903226,0.170305676856,0.35,0.172897196262
1983-1984,0.109004739336,0.0,0.0226537216828,0.10650887574,0.0,0.049504950495,0.0,0.468208092486,0.025974025974,0.236467236467,0.205882352941,0.222929936306,0.321428571429,0.358870967742,0.0150501672241,0.0,0.00694444444444,0.00606060606061,0.0,0.029702970297,0.0,0.43143812709,0.0112359550562,0.152777777778,0.0484848484848,0.172566371681,0.316831683168,0.177884615385
1984-1985,0.108374384236,0.0,0.0136518771331,0.117647058824,0.0194552529183,0.0618556701031,0.0172413793103,0.476047904192,0.0555555555556,0.223564954683,0.192771084337,0.254658385093,0.30534351145,0.336363636364,0.01872074883,0.0,0.00689655172414,0.0121212121212,0.00414937759336,0.0291262135922,0.00478468899522,0.438377535101,0.0375,0.158620689655,0.0424242424242,0.190871369295,0.281553398058,0.177033492823
1985-1986,0.0970464135021,0.0,0.0215384615385,0.0902777777778,0.014652014652,0.0510204081633,0.0340909090909,0.469230769231,0.0469798657718,0.214285714286,0.219178082192,0.268571428571,0.328358208955,0.348416289593,0.0149476831091,0.0,0.0178571428571,0.0225563909774,0.00406504065041,0.030612244898,0.015625,0.42600896861,0.0229885057471,0.125,0.0601503759398,0.211382113821,0.326530612245,0.203125
1986-1987,0.107255520505,0.0,0.0178117048346,0.0272108843537,0.0195439739414,0.0841121495327,0.0561224489796,0.477406679764,0.0670391061453,0.202380952381,0.25730994152,0.28320802005,0.369863013699,0.373493975904,0.015558698727,0.0,0.0108695652174,0.00649350649351,0.00711743772242,0.0373831775701,0.0165745856354,0.431400282885,0.0294117647059,0.163043478261,0.0844155844156,0.192170818505,0.327102803738,0.220994475138
1987-1988,0.12401055409,0.00537634408602,0.0156950672646,0.0379746835443,0.0148367952522,0.0666666666667,0.0538116591928,0.470085470085,0.0461538461538,0.203742203742,0.290155440415,0.245238095238,0.380952380952,0.371621621622,0.020592020592,0.00961538461538,0.0102564102564,0.0112359550562,0.00358422939068,0.031746031746,0.0196078431373,0.440154440154,0.0192307692308,0.148717948718,0.101123595506,0.193548387097,0.333333333333,0.220588235294
1988-1989,0.10460251046,0.00806451612903,0.0211480362538,0.0,0.0119047619048,0.0467289719626,0.0223463687151,0.474226804124,0.089552238806,0.202857142857,0.291666666667,0.237785016287,0.40522875817,0.347639484979,0.0217948717949,0.0103092783505,0.0178571428571,0.0,0.00352112676056,0.0260869565217,0.0150753768844,0.426923076923,0.0412371134021,0.154761904762,0.0838323353293,0.179577464789,0.347826086957,0.201005025126
1989-1990,0.101398601399,0.0,0.0246575342466,0.015037593985,0.0338983050847,0.0740740740741,0.0320855614973,0.481876332623,0.0331125827815,0.198966408269,0.306748466258,0.302083333333,0.384615384615,0.376,0.0161662817552,0.0,0.015306122449,0.00467289719626,0.00589970501475,0.0353982300885,0.0161290322581,0.434180138568,0.0176991150442,0.127551020408,0.102803738318,0.174041297935,0.327433628319,0.201612903226
1990-1991,0.104234527687,0.0115606936416,0.010781671159,0.0337837837838,0.0363636363636,0.0560747663551,0.0295566502463,0.484126984127,0.0505617977528,0.21760391198,0.329787234043,0.264058679707,0.393333333333,0.412587412587,0.018315018315,0.00877192982456,0.00546448087432,0.0093896713615,0.008356545961,0.0333333333333,0.0116279069767,0.435897435897,0.0263157894737,0.142076502732,0.131455399061,0.175487465181,0.333333333333,0.232558139535
