no,year,period,day,season,channel,channel_optional,program,begin,end
13417,1981-1982,prime time,Saturday,Winter,ABC,,The Love Boat (14/21.2),9:00 PM,10:00 PM
13418,1981-1982,prime time,Saturday,Winter,ABC,,Fantasy Island (30/18.3),10:00 PM,*10:30 PM
13419,1981-1982,prime time,Saturday,Spring,ABC,,T.J. Hooker (28/18.4),8:00 PM,9:00 PM
13420,1981-1982,prime time,Saturday,Spring,ABC,,The Love Boat (14/21.2),9:00 PM,10:00 PM
13421,1981-1982,prime time,Saturday,Spring,ABC,,Fantasy Island (30/18.3),10:00 PM,*10:30 PM
13422,1981-1982,prime time,Saturday,,CBS,,Walt Disney,8:00 PM,9:00 PM
13423,1981-1982,prime time,Saturday,,CBS,,The CBS Saturday Night Movies,9:00 PM,*10:30 PM
13424,1981-1982,prime time,Saturday,Fall,NBC,,Barbara Mandrell and the Mandrell Sisters,8:00 PM,9:00 PM
13425,1981-1982,prime time,Saturday,Fall,NBC,,Various,9:00 PM,*10:30 PM
13426,1981-1982,prime time,Saturday,,NBC,Follow-up,Barbara Mandrell and the Mandrell Sisters,8:00 PM,9:00 PM
13427,1981-1982,prime time,Saturday,,NBC,Follow-up,Harper Valley PTA,9:00 PM,9:30 PM
13428,1981-1982,prime time,Saturday,,NBC,Follow-up,Lewis & Clark,9:30 PM,10:00 PM
13429,1981-1982,prime time,Saturday,,NBC,Follow-up,Television: Inside and Out,10:00 PM,*10:30 PM
13430,1981-1982,prime time,Saturday,Winter,NBC,,One of the Boys,8:00 PM,8:30 PM
13431,1981-1982,prime time,Saturday,Winter,NBC,,Harper Valley PTA,8:30 PM,9:00 PM
13432,1981-1982,prime time,Saturday,Winter,NBC,,Barbara Mandrell and the Mandrell Sisters,9:00 PM,10:00 PM
13433,1981-1982,prime time,Saturday,Winter,NBC,,The Billy Crystal Comedy Hour,10:00 PM,*10:30 PM
13434,1981-1982,prime time,Saturday,,NBC,Follow-up,One of the Boys,8:00 PM,8:30 PM
13435,1981-1982,prime time,Saturday,,NBC,Follow-up,Chicago Story,8:30 PM,10:00 PM
13436,1981-1982,prime time,Saturday,,NBC,Follow-up,McClain's Law,10:00 PM,*10:30 PM
13437,1981-1982,prime time,Saturday,Spring,NBC,,Harper Valley PTA,8:00 PM,8:30 PM
13438,1981-1982,prime time,Saturday,Spring,NBC,,One of the Boys,8:30 PM,9:00 PM
13439,1981-1982,prime time,Saturday,Spring,NBC,,Barbara Mandrell and the Mandrell Sisters,9:00 PM,10:00 PM
13440,1981-1982,prime time,Saturday,Spring,NBC,,NBC Magazine,10:00 PM,*10:30 PM
13441,1981-1982,prime time,Saturday,Summer,NBC,,One of the Boys,8:00 PM,8:30 PM
13442,1981-1982,prime time,Saturday,Summer,NBC,,Harper Valley PTA,8:30 PM,9:00 PM
13443,1981-1982,prime time,Saturday,Summer,NBC,,NBC Saturday Night at the Movies,9:00 PM,*10:30 PM
13444,1981-1982,daytime,,Fall 1981,ABC,,local programming,6:00 am,7:00 am
13445,1981-1982,daytime,,Fall 1981,ABC,,Good Morning America,7:00 am,9:00 am
13446,1981-1982,daytime,,Fall 1981,ABC,,local programming,9:00 am,11:00 am
13447,1981-1982,daytime,,Fall 1981,ABC,,The Love Boat reruns,11:00 am,noon
13448,1981-1982,daytime,,Fall 1981,ABC,,Family Feud,noon,12:30 pm
13449,1981-1982,daytime,,Fall 1981,ABC,,Ryan's Hope,12:30 pm,1:00 pm
13450,1981-1982,daytime,,Fall 1981,ABC,,All My Children,1:00 pm,2:00 pm
13451,1981-1982,daytime,,Fall 1981,ABC,,One Life to Live,2:00 pm,3:00 pm
13452,1981-1982,daytime,,Fall 1981,ABC,,General Hospital,3:00 pm,4:00 pm
13453,1981-1982,daytime,,Fall 1981,ABC,,The Edge of Night,4:00 pm,4:30 pm
13454,1981-1982,daytime,,Fall 1981,ABC,,local programming,4:30 pm,6:30 pm
13455,1981-1982,daytime,,Fall 1981,ABC,,ABC's World News Tonight,6:30 pm,*6:30 pm
13456,1981-1982,daytime,,Fall 1981,CBS,,Sunrise Semester,6:00 am,7:00 am
13457,1981-1982,daytime,,Fall 1981,CBS,,Wake Up With the Captain,7:00 am,7:30 am
13458,1981-1982,daytime,,Fall 1981,CBS,,Morning with Charles Kuralt & Diane Sawyer,7:30 am,9:00 am
13459,1981-1982,daytime,,Fall 1981,CBS,,local programming,9:00 am,10:00 am
13460,1981-1982,daytime,,Fall 1981,CBS,,One Day at a Time Repeats,10:00 am,10:30 am
13461,1981-1982,daytime,,Fall 1981,CBS,,Alice reruns,10:30 am,11:00 am
13462,1981-1982,daytime,,Fall 1981,CBS,,The Price is Right,11:00 am,noon
13463,1981-1982,daytime,,Fall 1981,CBS,,local programming,noon,12:30 pm
13464,1981-1982,daytime,,Fall 1981,CBS,,The Young and the Restless,12:30 pm,1:30 pm
13465,1981-1982,daytime,,Fall 1981,CBS,,As the World Turns,1:30 pm,2:30 pm
13466,1981-1982,daytime,,Fall 1981,CBS,,Search for Tomorrow,2:30 pm,3:00 pm
13467,1981-1982,daytime,,Fall 1981,CBS,,Guiding Light,3:00 pm,4:00 pm
13468,1981-1982,daytime,,Fall 1981,CBS,,Up to the Minute,4:00 pm,4:30 pm
13469,1981-1982,daytime,,Fall 1981,CBS,,local programming,4:30 pm,6:30 pm
13470,1981-1982,daytime,,Fall 1981,CBS,,CBS Evening News with Dan Rather,6:30 pm,*6:30 pm
13471,1981-1982,daytime,,Fall 1981,NBC,,NBC News Sunrise,6:00 am,7:00 am
13472,1981-1982,daytime,,Fall 1981,NBC,,The Today Show with Tom Brokaw & Jane Pauley,7:00 am,9:00 am
13473,1981-1982,daytime,,Fall 1981,NBC,,local programming,9:00 am,10:00 am
13474,1981-1982,daytime,,Fall 1981,NBC,,Las Vegas Gambit,10:00 am,10:30 am
13475,1981-1982,daytime,,Fall 1981,NBC,,Blockbusters,10:30 am,11:00 am
13476,1981-1982,daytime,,Fall 1981,NBC,,Wheel of Fortune,11:00 am,11:30 am
13477,1981-1982,daytime,,Fall 1981,NBC,,Battlestars,11:30 am,noon
13478,1981-1982,daytime,,Fall 1981,NBC,,Password Plus,noon,12:30 pm
13479,1981-1982,daytime,,Fall 1981,NBC,,The Doctors,12:30 pm,1:00 pm
13480,1981-1982,daytime,,Fall 1981,NBC,,Days of Our Lives,1:00 pm,2:00 pm
13481,1981-1982,daytime,,Fall 1981,NBC,,Another World,2:00 pm,3:00 pm
13482,1981-1982,daytime,,Fall 1981,NBC,,Texas,3:00 pm,4:00 pm
13483,1981-1982,daytime,,Fall 1981,NBC,,local programming,4:00 pm,6:30 pm
13484,1981-1982,daytime,,Fall 1981,NBC,,NBC Nightly News with John Chancellor,6:30 pm,*6:30 pm
13485,1981-1982,daytime,,Winter 1981-1982,ABC,,local programming,6:00 am,7:00 am
13486,1981-1982,daytime,,Winter 1981-1982,ABC,,Good Morning America,7:00 am,9:00 am
13487,1981-1982,daytime,,Winter 1981-1982,ABC,,local programming,9:00 am,11:00 am
13488,1981-1982,daytime,,Winter 1981-1982,ABC,,The Love Boat reruns,11:00 am,noon
13489,1981-1982,daytime,,Winter 1981-1982,ABC,,Family Feud,noon,12:30 pm
13490,1981-1982,daytime,,Winter 1981-1982,ABC,,Ryan's Hope,12:30 pm,1:00 pm
13491,1981-1982,daytime,,Winter 1981-1982,ABC,,All My Children,1:00 pm,2:00 pm
13492,1981-1982,daytime,,Winter 1981-1982,ABC,,One Life to Live,2:00 pm,3:00 pm
13493,1981-1982,daytime,,Winter 1981-1982,ABC,,General Hospital,3:00 pm,4:00 pm
13494,1981-1982,daytime,,Winter 1981-1982,ABC,,The Edge of Night,4:00 pm,4:30 pm
13495,1981-1982,daytime,,Winter 1981-1982,ABC,,local programming,4:30 pm,6:30 pm
13496,1981-1982,daytime,,Winter 1981-1982,ABC,,ABC's World News Tonight,6:30 pm,*6:30 pm
13497,1981-1982,daytime,,Winter 1981-1982,CBS,,Sunrise Semester,6:00 am,7:00 am
13498,1981-1982,daytime,,Winter 1981-1982,CBS,,Wake Up With the Captain,7:00 am,7:30 am
13499,1981-1982,daytime,,Winter 1981-1982,CBS,,Morning with Charles Kuralt & Diane Sawyer,7:30 am,9:00 am
13500,1981-1982,daytime,,Winter 1981-1982,CBS,,local programming,9:00 am,10:00 am
13501,1981-1982,daytime,,Winter 1981-1982,CBS,,One Day at a Time Repeats,10:00 am,10:30 am
13502,1981-1982,daytime,,Winter 1981-1982,CBS,,Alice reruns,10:30 am,11:00 am
13503,1981-1982,daytime,,Winter 1981-1982,CBS,,The Price is Right,11:00 am,noon
13504,1981-1982,daytime,,Winter 1981-1982,CBS,,local programming,noon,12:30 pm
13505,1981-1982,daytime,,Winter 1981-1982,CBS,,The Young and the Restless,12:30 pm,1:30 pm
13506,1981-1982,daytime,,Winter 1981-1982,CBS,,As the World Turns,1:30 pm,2:30 pm
13507,1981-1982,daytime,,Winter 1981-1982,CBS,,Search for Tomorrow,2:30 pm,3:00 pm
13508,1981-1982,daytime,,Winter 1981-1982,CBS,,Guiding Light,3:00 pm,4:00 pm
13509,1981-1982,daytime,,Winter 1981-1982,CBS,,Tattletales,4:00 pm,4:30 pm
13510,1981-1982,daytime,,Winter 1981-1982,CBS,,local programming,4:30 pm,6:30 pm
13511,1981-1982,daytime,,Winter 1981-1982,CBS,,CBS Evening News with Dan Rather,6:30 pm,*6:30 pm
13512,1981-1982,daytime,,Winter 1981-1982,NBC,,NBC News Sunrise,6:00 am,7:00 am
13513,1981-1982,daytime,,Winter 1981-1982,NBC,,The Today Show with Jane Pauley & Bryant Gumbel,7:00 am,9:00 am
13514,1981-1982,daytime,,Winter 1981-1982,NBC,,local programming,9:00 am,10:00 am
13515,1981-1982,daytime,,Winter 1981-1982,NBC,,The Regis Philbin Show,10:00 am,10:30 am
13516,1981-1982,daytime,,Winter 1981-1982,NBC,,Blockbusters,10:30 am,11:00 am
13517,1981-1982,daytime,,Winter 1981-1982,NBC,,Wheel of Fortune,11:00 am,11:30 am
13518,1981-1982,daytime,,Winter 1981-1982,NBC,,Battlestars,11:30 am,noon
13519,1981-1982,daytime,,Winter 1981-1982,NBC,,Password Plus,noon,12:30 pm
13520,1981-1982,daytime,,Winter 1981-1982,NBC,,The Doctors,12:30 pm,1:00 pm
13521,1981-1982,daytime,,Winter 1981-1982,NBC,,Days of Our Lives,1:00 pm,2:00 pm
13522,1981-1982,daytime,,Winter 1981-1982,NBC,,Another World,2:00 pm,3:00 pm
13523,1981-1982,daytime,,Winter 1981-1982,NBC,,Texas,3:00 pm,4:00 pm
13524,1981-1982,daytime,,Winter 1981-1982,NBC,,local programming,4:00 pm,6:30 pm
13525,1981-1982,daytime,,Winter 1981-1982,NBC,,NBC Nightly News with John Chancellor,6:30 pm,*6:30 pm
13526,1981-1982,daytime,,Spring 1982,ABC,,local programming,6:00 am,7:00 am
13527,1981-1982,daytime,,Spring 1982,ABC,,Good Morning America,7:00 am,9:00 am
13528,1981-1982,daytime,,Spring 1982,ABC,,local programming,9:00 am,11:00 am
13529,1981-1982,daytime,,Spring 1982,ABC,,The Love Boat reruns,11:00 am,noon
13530,1981-1982,daytime,,Spring 1982,ABC,,Family Feud,noon,12:30 pm
13531,1981-1982,daytime,,Spring 1982,ABC,,Ryan's Hope,12:30 pm,1:00 pm
13532,1981-1982,daytime,,Spring 1982,ABC,,All My Children,1:00 pm,2:00 pm
13533,1981-1982,daytime,,Spring 1982,ABC,,One Life to Live,2:00 pm,3:00 pm
13534,1981-1982,daytime,,Spring 1982,ABC,,General Hospital,3:00 pm,4:00 pm
13535,1981-1982,daytime,,Spring 1982,ABC,,The Edge of Night,4:00 pm,4:30 pm
13536,1981-1982,daytime,,Spring 1982,ABC,,local programming,4:30 pm,6:30 pm
13537,1981-1982,daytime,,Spring 1982,ABC,,ABC's World News Tonight,6:30 pm,*6:30 pm
13538,1981-1982,daytime,,Spring 1982,CBS,,Sunrise Semester,6:00 am,6:30 am
13539,1981-1982,daytime,,Spring 1982,CBS,,Wake Up With the Captain,6:30 am,7:00 am
13540,1981-1982,daytime,,Spring 1982,CBS,,CBS Morning News,7:00 am,9:00 am
13541,1981-1982,daytime,,Spring 1982,CBS,,local programming,9:00 am,10:00 am
13542,1981-1982,daytime,,Spring 1982,CBS,,One Day at a Time Repeats,10:00 am,10:30 am
13543,1981-1982,daytime,,Spring 1982,CBS,,Alice reruns,10:30 am,11:00 am
13544,1981-1982,daytime,,Spring 1982,CBS,,The Price is Right,11:00 am,noon
13545,1981-1982,daytime,,Spring 1982,CBS,,local programming,noon,12:30 pm
13546,1981-1982,daytime,,Spring 1982,CBS,,The Young and the Restless,12:30 pm,1:30 pm
13547,1981-1982,daytime,,Spring 1982,CBS,,As the World Turns,1:30 pm,2:30 pm
13548,1981-1982,daytime,,Spring 1982,CBS,,Capitol began 3/29,2:30 pm,3:00 pm
13549,1981-1982,daytime,,Spring 1982,CBS,,Guiding Light,3:00 pm,4:00 pm
13550,1981-1982,daytime,,Spring 1982,CBS,,Tattletales,4:00 pm,4:30 pm
13551,1981-1982,daytime,,Spring 1982,CBS,,local programming,4:30 pm,6:30 pm
13552,1981-1982,daytime,,Spring 1982,CBS,,CBS Evening News with Dan Rather,6:30 pm,*6:30 pm
13553,1981-1982,daytime,,Spring 1982,NBC,,NBC News Sunrise,6:00 am,7:00 am
13554,1981-1982,daytime,,Spring 1982,NBC,,The Today Show with Jane Pauley & Bryant Gumbel,7:00 am,9:00 am
13555,1981-1982,daytime,,Spring 1982,NBC,,local programming,9:00 am,10:00 am
13556,1981-1982,daytime,,Spring 1982,NBC,,Diff'rent Strokes reruns,10:00 am,10:30 am
13557,1981-1982,daytime,,Spring 1982,NBC,,Wheel of Fortune,10:30 am,11:00 am
13558,1981-1982,daytime,,Spring 1982,NBC,,Texas,11:00 am,noon
13559,1981-1982,daytime,,Spring 1982,NBC,,The Doctors,noon,12:30 pm
13560,1981-1982,daytime,,Spring 1982,NBC,,Search for Tomorrow,12:30 pm,1:00 pm
13561,1981-1982,daytime,,Spring 1982,NBC,,Days of Our Lives,1:00 pm,2:00 pm
13562,1981-1982,daytime,,Spring 1982,NBC,,Another World,2:00 pm,3:00 pm
13563,1981-1982,daytime,,Spring 1982,NBC,,CHiPs reruns,3:00 pm,4:00 pm
13564,1981-1982,daytime,,Spring 1982,NBC,,local programming,4:00 pm,6:30 pm
13565,1981-1982,daytime,,Spring 1982,NBC,,NBC Nightly News with Tom Brokaw,6:30 pm,*6:30 pm
13566,1981-1982,daytime,,Summer 1982,ABC,,ABC News This Morning,6:00 am,7:00 am
13567,1981-1982,daytime,,Summer 1982,ABC,,Good Morning America,7:00 am,9:00 am
13568,1981-1982,daytime,,Summer 1982,ABC,,local programming,9:00 am,11:00 am
13569,1981-1982,daytime,,Summer 1982,ABC,,The Love Boat reruns,11:00 am,noon
13570,1981-1982,daytime,,Summer 1982,ABC,,Family Feud,noon,12:30 pm
13571,1981-1982,daytime,,Summer 1982,ABC,,Ryan's Hope,12:30 pm,1:00 pm
13572,1981-1982,daytime,,Summer 1982,ABC,,All My Children,1:00 pm,2:00 pm
13573,1981-1982,daytime,,Summer 1982,ABC,,One Life to Live,2:00 pm,3:00 pm
13574,1981-1982,daytime,,Summer 1982,ABC,,General Hospital,3:00 pm,4:00 pm
13575,1981-1982,daytime,,Summer 1982,ABC,,The Edge of Night,4:00 pm,4:30 pm
13576,1981-1982,daytime,,Summer 1982,ABC,,local programming,4:30 pm,6:30 pm
13577,1981-1982,daytime,,Summer 1982,ABC,,ABC's World News Tonight,6:30 pm,*6:30 pm
13578,1981-1982,daytime,,Summer 1982,CBS,,Sunrise Semester,6:00 am,6:30 am
13579,1981-1982,daytime,,Summer 1982,CBS,,Wake Up With the Captain,6:30 am,7:00 am
13580,1981-1982,daytime,,Summer 1982,CBS,,CBS Morning News,7:00 am,9:00 am
13581,1981-1982,daytime,,Summer 1982,CBS,,local programming,9:00 am,10:00 am
13582,1981-1982,daytime,,Summer 1982,CBS,,One Day at a Time Repeats,10:00 am,10:30 am
13583,1981-1982,daytime,,Summer 1982,CBS,,Alice reruns,10:30 am,11:00 am
13584,1981-1982,daytime,,Summer 1982,CBS,,The Price is Right,11:00 am,noon
13585,1981-1982,daytime,,Summer 1982,CBS,,local programming,noon,12:30 pm
13586,1981-1982,daytime,,Summer 1982,CBS,,The Young and the Restless,12:30 pm,1:30 pm
13587,1981-1982,daytime,,Summer 1982,CBS,,As the World Turns,1:30 pm,2:30 pm
13588,1981-1982,daytime,,Summer 1982,CBS,,Capitol,2:30 pm,3:00 pm
13589,1981-1982,daytime,,Summer 1982,CBS,,Guiding Light,3:00 pm,4:00 pm
13590,1981-1982,daytime,,Summer 1982,CBS,,Tattletales,4:00 pm,4:30 pm
13591,1981-1982,daytime,,Summer 1982,CBS,,local programming,4:30 pm,6:30 pm
13592,1981-1982,daytime,,Summer 1982,CBS,,CBS Evening News with Dan Rather,6:30 pm,*6:30 pm
13593,1981-1982,daytime,,Summer 1982,NBC,,Early Today,6:00 am,7:00 am
13594,1981-1982,daytime,,Summer 1982,NBC,,The Today Show with Jane Pauley & Bryant Gumbel,7:00 am,9:00 am
13595,1981-1982,daytime,,Summer 1982,NBC,,local programming,9:00 am,10:00 am
13596,1981-1982,daytime,,Summer 1982,NBC,,Diff'rent Strokes reruns,10:00 am,10:30 am
13597,1981-1982,daytime,,Summer 1982,NBC,,Wheel of Fortune,10:30 am,11:00 am
13598,1981-1982,daytime,,Summer 1982,NBC,,Texas,11:00 am,noon
13599,1981-1982,daytime,,Summer 1982,NBC,,The Doctors,noon,12:30 pm
13600,1981-1982,daytime,,Summer 1982,NBC,,Search for Tomorrow,12:30 pm,1:00 pm
13601,1981-1982,daytime,,Summer 1982,NBC,,Days of Our Lives,1:00 pm,2:00 pm
13602,1981-1982,daytime,,Summer 1982,NBC,,Another World,2:00 pm,3:00 pm
13603,1981-1982,daytime,,Summer 1982,NBC,,CHiPs reruns,3:00 pm,4:00 pm
13604,1981-1982,daytime,,Summer 1982,NBC,,local programming,4:00 pm,6:30 pm
13605,1981-1982,daytime,,Summer 1982,NBC,,NBC Nightly News with Tom Brokaw,6:30 pm,*6:30 pm
13606,1981-1982,late night,,Fall 1981,ABC,,local programming,11:00 PM,11:30 PM
13607,1981-1982,late night,,Fall 1981,ABC,,Nightline,11:30 PM,12:00 AM
13608,1981-1982,late night,,Fall 1981,ABC,,ABC Late Night (Mon.-Thur.)/Fridays (Fri),12:00 AM,1:30 AM
13609,1981-1982,late night,,Fall 1981,ABC,,Local,1:30 AM,*5:30 AM
13610,1981-1982,late night,,Fall 1981,CBS,,local programming,11:00 PM,11:30 PM
13611,1981-1982,late night,,Fall 1981,CBS,,The CBS Late Movie,11:30 PM,1:30 AM
13612,1981-1982,late night,,Fall 1981,CBS,,Local,1:30 AM,*5:30 AM
13613,1981-1982,late night,,Fall 1981,NBC,,local programming,11:00 PM,11:30 PM
13614,1981-1982,late night,,Fall 1981,NBC,,The Tonight Show Starring Johnny Carson/Saturday Night Live (Sat.)/NBC Late Night Movie to 1:30 (Sun.),11:30 PM,12:30 AM
13615,1981-1982,late night,,Fall 1981,NBC,,The Tomorrow Show (Mon.-Thur.)/SCTV Network 90 (Fri),12:30 AM,2:00 AM
13616,1981-1982,late night,,Fall 1981,NBC,,local programming,2:00 AM,*5:30 AM
13617,1981-1982,late night,,Winter 1981/1982,ABC,,local programming,11:00 PM,11:30 PM
13618,1981-1982,late night,,Winter 1981/1982,ABC,,Nightline,11:30 PM,12:00 AM
13619,1981-1982,late night,,Winter 1981/1982,ABC,,ABC Late Night (Mon.-Thur.)/Fridays (Fri),12:00 AM,1:30 AM
13620,1981-1982,late night,,Winter 1981/1982,ABC,,Local,1:30 AM,*5:30 AM
13621,1981-1982,late night,,Winter 1981/1982,CBS,,local programming,11:00 PM,11:30 PM
13622,1981-1982,late night,,Winter 1981/1982,CBS,,The CBS Late Movie,11:30 PM,1:30 AM
13623,1981-1982,late night,,Winter 1981/1982,CBS,,Local,1:30 AM,*5:30 AM
13624,1981-1982,late night,,Winter 1981/1982,NBC,,local programming,11:00 PM,11:30 PM
13625,1981-1982,late night,,Winter 1981/1982,NBC,,The Tonight Show Starring Johnny Carson/Saturday Night Live (Sat.)/NBC Late Night Movie to 1:30 (Sun.),11:30 PM,12:30 AM
13626,1981-1982,late night,,Winter 1981/1982,NBC,,Late Night with David Letterman (Mon.-Thur.)/SCTV Network 90 to 2:00 (Fri),12:30 AM,1:30 AM
13627,1981-1982,late night,,Winter 1981/1982,NBC,,local programming,1:30 AM,*5:30 AM
13628,1981-1982,late night,,Spring 1982,ABC,,local programming,11:00 PM,11:30 PM
13629,1981-1982,late night,,Spring 1982,ABC,,Nightline,11:30 PM,12:00 AM
13630,1981-1982,late night,,Spring 1982,ABC,,ABC Late Night (Mon.-Thur.)/Fridays (Fri),12:00 AM,1:30 AM
13631,1981-1982,late night,,Spring 1982,ABC,,Local,1:30 AM,*5:30 AM
13632,1981-1982,late night,,Spring 1982,CBS,,local programming,11:00 PM,11:30 PM
13633,1981-1982,late night,,Spring 1982,CBS,,The CBS Late Movie,11:30 PM,1:30 AM
13634,1981-1982,late night,,Spring 1982,CBS,,Local,1:30 AM,*5:30 AM
13635,1981-1982,late night,,Spring 1982,NBC,,local programming,11:00 PM,11:30 PM
13636,1981-1982,late night,,Spring 1982,NBC,,The Tonight Show Starring Johnny Carson/Saturday Night Live (Sat.)/NBC Late Night Movie to 1:30 (Sun.),11:30 PM,12:30 AM
13637,1981-1982,late night,,Spring 1982,NBC,,Late Night with David Letterman (Mon.-Thur.)/SCTV Network 90 to 2:00 (Fri),12:30 AM,1:30 AM
13638,1981-1982,late night,,Spring 1982,NBC,,local programming,1:30 AM,*5:30 AM
13639,1981-1982,late night,,Summer 1982,ABC,,local programming,11:00 PM,11:30 PM
13640,1981-1982,late night,,Summer 1982,ABC,,Nightline,11:30 PM,12:00 AM
13641,1981-1982,late night,,Summer 1982,ABC,,ABC Late Night (Mon.-Thur.)/Fridays (Fri),12:00 AM,1:30 AM
13642,1981-1982,late night,,Summer 1982,ABC,,Local,1:30 AM,*5:30 AM
13643,1981-1982,late night,,Summer 1982,CBS,,local programming,11:00 PM,11:30 PM
13644,1981-1982,late night,,Summer 1982,CBS,,The CBS Late Movie,11:30 PM,1:30 AM
13645,1981-1982,late night,,Summer 1982,CBS,,Local,1:30 AM,*5:30 AM
13646,1981-1982,late night,,Summer 1982,NBC,,local programming,11:00 PM,11:30 PM
13647,1981-1982,late night,,Summer 1982,NBC,,The Tonight Show Starring Johnny Carson/Saturday Night Live (Sat.)/NBC Late Night Movie to 1:30 (Sun.),11:30 PM,12:30 AM
13648,1981-1982,late night,,Summer 1982,NBC,,Late Night with David Letterman (Mon.-Thur.)/SCTV Network 90 to 2:00 (Fri.),12:30 AM,1:30 AM
13649,1981-1982,late night,,Summer 1982,NBC,,"NBC News Overnight (Mon.-Thur., 1:30-2:30/Fri., 2:00-3:00)",1:30 AM,2:30 AM
13650,1981-1982,late night,,Summer 1982,NBC,,local programming,2:30 AM,*5:30 AM
13651,1981-1982,Saturday morning,,Fall 1981,ABC,,Super Friends,8:00 AM,8:30 AM
13652,1981-1982,Saturday morning,,Fall 1981,ABC,,Heathcliff & Marmaduke,8:30 AM,9:00 AM
13653,1981-1982,Saturday morning,,Fall 1981,ABC,,The Fonz and the Happy Days Gang,9:00 AM,9:30 AM
13654,1981-1982,Saturday morning,,Fall 1981,ABC,,Scooby-Doo Classics,9:30 AM,10:00 AM
13655,1981-1982,Saturday morning,,Fall 1981,ABC,,The Richie Rich/Scooby-Doo Show and Scrappy Too!,10:00 AM,11:00 AM
13656,1981-1982,Saturday morning,,Fall 1981,ABC,,Laverne & Shirley in the Army,11:00 AM,11:30 AM
13657,1981-1982,Saturday morning,,Fall 1981,ABC,,Goldie Gold and Action Jack,11:30 AM,12:00 PM
13658,1981-1982,Saturday morning,,Fall 1981,ABC,,Thundarr the Barbarian,12:00 PM,12:30 PM
13659,1981-1982,Saturday morning,,Fall 1981,ABC,,ABC Weekend Special,12:30 PM,1:00 PM
13660,1981-1982,Saturday morning,,Fall 1981,ABC,,American Bandstand,1:00 PM,*1:30 PM
13661,1981-1982,Saturday morning,,Fall 1981,CBS,,The Kwicky Koala Show,8:00 AM,8:30 AM
13662,1981-1982,Saturday morning,,Fall 1981,CBS,,Trollkins,8:30 AM,9:00 AM
13663,1981-1982,Saturday morning,,Fall 1981,CBS,,The Bugs Bunny/Road Runner Show,9:00 AM,10:30 AM
13664,1981-1982,Saturday morning,,Fall 1981,CBS,,Popeye & Olive Comedy Show,10:30 AM,11:00 AM
13665,1981-1982,Saturday morning,,Fall 1981,CBS,,Blackstar,11:00 AM,11:30 AM
13666,1981-1982,Saturday morning,,Fall 1981,CBS,,The Tarzan/Lone Ranger/Zorro Adventure Hour,11:30 AM,12:30 PM
13667,1981-1982,Saturday morning,,Fall 1981,CBS,,The Tom and Jerry Comedy Show,12:30 PM,1:00 PM
13668,1981-1982,Saturday morning,,Fall 1981,CBS,,Fat Albert and the Cosby Kids,1:00 PM,1:30 PM
13669,1981-1982,Saturday morning,,Fall 1981,CBS,,30 Minutes,1:30 PM,*1:30 PM
13670,1981-1982,Saturday morning,,Fall 1981,NBC,,The Flintstone Comedy Show,8:00 AM,8:30 AM
13671,1981-1982,Saturday morning,,Fall 1981,NBC,,The Smurfs,8:30 AM,9:30 AM
13672,1981-1982,Saturday morning,,Fall 1981,NBC,,The Kid Superpower Hour with Shazam!,9:30 AM,10:30 AM
13673,1981-1982,Saturday morning,,Fall 1981,NBC,,Spider-Man and his Amazing Friends,10:30 AM,11:00 AM
13674,1981-1982,Saturday morning,,Fall 1981,NBC,,Space Stars,11:00 AM,12:00 PM
13675,1981-1982,Saturday morning,,Fall 1981,NBC,,The Daffy / Speedy Show,12:00 PM,12:30 PM
13676,1981-1982,Saturday morning,,Fall 1981,NBC,,Bullwinkle,12:30 PM,1:00 PM
13677,1981-1982,Saturday morning,,Fall 1981,NBC,,local programming,1:00 PM,*1:30 PM
13678,1981-1982,Saturday morning,,Spring 1982,ABC,,Super Friends,8:00 AM,8:30 AM
13679,1981-1982,Saturday morning,,Spring 1982,ABC,,Thundarr,8:30 AM,9:00 AM
13680,1981-1982,Saturday morning,,Spring 1982,ABC,,Goldie Gold and Action Jack,9:00 AM,9:30 AM
13681,1981-1982,Saturday morning,,Spring 1982,ABC,,Laverne & Shirley in the Army,9:30 AM,10:00 AM
13682,1981-1982,Saturday morning,,Spring 1982,ABC,,The Richie Rich/Scooby-Doo Show and Scrappy Too!,10:00 AM,11:00 AM
13683,1981-1982,Saturday morning,,Spring 1982,ABC,,Scooby-Doo Classics,11:00 AM,11:30 AM
13684,1981-1982,Saturday morning,,Spring 1982,ABC,,The Fonz and the Happy Days Gang,11:30 AM,12:00 PM
13685,1981-1982,Saturday morning,,Spring 1982,ABC,,Heathcliff & Marmaduke,12:00 PM,12:30 PM
13686,1981-1982,Saturday morning,,Spring 1982,ABC,,ABC Weekend Special,12:30 PM,1:00 PM
13687,1981-1982,Saturday morning,,Spring 1982,ABC,,American Bandstand,1:00 PM,*1:30 PM
13688,1981-1982,Saturday morning,,Spring 1982,CBS,,Popeye & Olive Comedy Show,8:00 AM,8:30 AM
13689,1981-1982,Saturday morning,,Spring 1982,CBS,,The Tarzan/Lone Ranger/Zorro Adventure Hour,8:30 AM,9:30 AM
13690,1981-1982,Saturday morning,,Spring 1982,CBS,,The Bugs Bunny/Road Runner Show,9:30 AM,11:00 AM
13691,1981-1982,Saturday morning,,Spring 1982,CBS,,Blackstar,11:00 AM,11:30 AM
